Species,Age,Sex,Wing,Weight,Tail,Year
RT,I,"",385,920,219,1992
RT,I,"",376,930,221,1992
RT,I,"",381,990,235,1992
CH,I,F,265,470,220,1992
SS,I,F,205,170,157,1992
RT,I,"",412,1090,230,1992
RT,I,"",370,960,212,1992
RT,A,"",375,855,243,1992
RT,A,"",412,1210,210,1992
RT,I,"",405,1120,238,1992
RT,I,"",393,1010,222,1992
RT,I,"",371,1010,217,1992
RT,A,"",390,1120,213,1992
RT,I,"",416,1170,243,1992
RT,A,"",436,1390,232,1992
RT,I,"",418,1150,238,1992
RT,A,"",381,950,202,1992
RT,I,"",378,910,227,1992
RT,I,"",396,1010,227,1992
RT,I,"",399,1070,222,1992
RT,I,"",416,1190,237,1992
RT,I,"",415,101,238,1992
RT,A,"",392,1330,213,1992
RT,I,"",380,990,211,1992
SS,I,M,173,100,130,1992
RT,I,"",399,1100,190,1992
RT,A,"",401,1190,245,1992
SS,I,F,205,180,164,1992
RT,I,"",427,1490,246,1992
RT,A,"",395,1040,207,1992
RT,I,"",362,820,209,1992
RT,A,"",396,1030,200,1992
RT,A,"",391,1300,215,1992
RT,A,"",413,1500,219,1992
RT,A,"",371,1080,198,1992
RT,A,"",385,1320,207,1992
RT,A,"",378,1490,204,1992
RT,A,"",416,1500,205,1992
SS,I,M,193,100,144,1993
SS,I,M,171,88,136,1993
CH,I,"",233,324,191,1993
RT,I,"",384,1060,230,1993
RT,I,"",382,1140,227,1993
RT,I,"",390,1030,208,1993
RT,I,"",390,1000,231,1993
RT,I,"",393,1050,222,1993
RT,I,"",378,1040,225,1993
RT,I,"",398,1110,225,1993
RT,I,"",412,1300,233,1993
RT,I,"",400,980,214,1993
RT,I,"",422,1120,233,1993
SS,I,F,202,134,158,1993
RT,I,"",394,1270,245,1993
RT,I,"",369,880,210,1993
CH,I,F,252,340,230,1993
CH,A,M,240,340,192,1993
RT,I,"",410,1255,229,1993
RT,I,"",241,1320,235,1993
RT,I,"",408,1320,221,1993
RT,I,"",37.2,1180,210,1993
RT,I,"",380,760,212,1993
RT,I,"",396,1250,225,1993
SS,I,M,158,100,122,1993
RT,I,"",416,1300,235,1993
CH,I,F,271,475,232,1993
SS,A,M,176,100,133,1993
RT,A,"",390,1080,209,1993
RT,A,"",391,1130,212,1993
RT,A,"",387,1160,209,1993
RT,I,"",420,1345,250,1993
